PH_NUMBER	AREA_NAME	ZONE_NAME	STAKE_NAME	DISTRICT_NAME	ENGLISH_UNIT_NAME	REPORT_REQUIRED	ENGLISH_REQUIRED	GEOG_AREAS
+886972263518	548	TAIZHONG_SOUTH			NONE	0	0	
+886972263517	547	TAIZHONG_SOUTH			NONE	0	0	
+886972263519	549	TAIZHONG_SOUTH			NONE	0	0	
+886973263502	552	TAIZHONG_EAST			NONE	0	0	
+886972377635	554	TAIZHONG_EAST			NONE	0	0	
+886972263511	553	TAIZHONG_EAST			NONE	0	0	
+886972263512	546	TAIZHONG_EAST			NONE	0	0	
+886975503229	453	TAIZHONG_EAST			NONE	0	0	
+886972377650	454	TAIZHONG_EAST			NONE	0	0	
+886972263516	456	TAIZHONG_EAST			NONE	0	0	
+886975135263	328	TAIZHONG_EAST			NONE	0	0	
+886972263546	334	TAIZHONG_EAST			NONE	0	0	
+886975865851	330	TAIZHONG_EAST			NONE	0	0	
+886975165027	333	TAIZHONG_EAST			NONE	0	0	
+886972263506	434	TAIZHONG_EAST			NONE	0	0	
+886972263504	439	TAIZHONG_EAST			NONE	0	0	
+886972377691	770	ZHONGXING			NONE	0	0	
+886972263527	768	ZHONGXING			NONE	0	0	
+886972263528	769	ZHONGXING			NONE	0	0	
+886972263529	772	ZHONGXING			NONE	0	0	
+886978853607	773	ZHONGXING			NONE	0	0	
+886975877667	984	ZHONGXING			NONE	0	0	
+886972263530	983	ZHONGXING			NONE	0	0	
+886972263531	985	ZHONGXING			NONE	0	0	
+886972263524	989	ZHONGXING			NONE	0	0	
+886972263521	878	ZHONGXING			NONE	0	0	
+886972377695	875	ZHONGXING			NONE	0	0	
+886972263522	880	ZHONGXING			NONE	0	0	
+886972377671	133	JIAYI			NONE	0	0	
+886975087308	131	JIAYI			NONE	0	0	
+886972263533	130	JIAYI			NONE	0	0	
+886972576305	134	JIAYI			NONE	0	0	
+886972576641	113	JIAYI			NONE	0	0	
+886972263537	151	JIAYI			NONE	0	0	
+886972263536	152	JIAYI			NONE	0	0	
+886972263540	790	JIAYI			NONE	0	0	
+886978809213	789	JIAYI			NONE	0	0	
+886972263538	995	JIAYI			NONE	0	0	
+886972263545	250	TAINAN			NONE	0	0	
+886972908863	211	TAINAN			NONE	0	0	
+886975095021	252	TAINAN			NONE	0	0	
+886972987336	251	TAINAN			NONE	0	0	
+886972263541	230	TAINAN			NONE	0	0	
+886972263542	213	TAINAN			NONE	0	0	
+886972263559	212	TAINAN			NONE	0	0	
+886975081076	260	TAINAN			NONE	0	0	
+886972377615	261	TAINAN			NONE	0	0	
+886972263550	263	TAINAN			NONE	0	0	
+886972263525	262	TAINAN			NONE	0	0	
+886972263547	172	TAINAN			NONE	0	0	
+886972377670	411	GAOXIONG_NORTH			NONE	0	0	
+886972263552	580	GAOXIONG_NORTH			NONE	0	0	
+886972263553	583	GAOXIONG_NORTH			NONE	0	0	
+886972263561	651	GAOXIONG_NORTH			NONE	0	0	
+886972263554	465	GAOXIONG_NORTH			NONE	0	0	
+886988967883	466	GAOXIONG_NORTH			NONE	0	0	
+886975118036	462	GAOXIONG_NORTH			NONE	0	0	
+886972263539	463	GAOXIONG_NORTH			NONE	0	0	
+886972263558	588	GAOXIONG_WEST			NONE	0	0	
+886975877605	589	GAOXIONG_WEST			NONE	0	0	
+886975686572	590	GAOXIONG_WEST			NONE	0	0	
+886972377675	562	GAOXIONG_WEST			NONE	0	0	
+886972263557	563	GAOXIONG_WEST			NONE	0	0	
+886972263551	530	GAOXIONG_WEST			NONE	0	0	
+886972576300	532	GAOXIONG_WEST			NONE	0	0	
+886972263567	634	PINGDONG			NONE	0	0	
+886975862963	633	PINGDONG			NONE	0	0	
